Name,Season,Age,Squad,Comp,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,PerGls,PerAst,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
aguero,2009-2010,21,Atl?tico Madrid,3 Leagues,45,37,3364,16,7,0,0,9,0,0.43,0.19,0.62,0.43,0.62,,,,,,,,,
aguero,2010-2011,22,Atl?tico Madrid,2 Leagues,36,34,2928,23,4,1,1,7,0,0.71,0.12,0.83,0.68,0.8,,,,,,,,,
aguero,2011-2012,23,Manchester City,3 Leagues,44,37,3170,28,10,3,3,3,0,0.79,0.28,1.08,0.71,0.99,,,,,,,,,
aguero,2012-2013,24,Manchester City,2 Leagues,35,26,2332,14,2,3,3,2,0,0.54,0.08,0.62,0.42,0.5,,,,,,,,,
aguero,2013-2014,25,Manchester City,2 Leagues,29,26,1959,23,8,2,3,5,0,1.06,0.37,1.42,0.96,1.33,,,,,,,,,
aguero,2014-2015,26,Manchester City,4 Leagues,42,37,3192,32,9,7,9,7,0,0.9,0.25,1.16,0.7,0.96,,,,,,,,,Matches
aguero,2015-2016,27,Manchester City,4 Leagues,44,42,3507,29,4,6,7,1,0,0.74,0.1,0.85,0.59,0.69,,,,,,,,,Matches
aguero,2016-2017,28,Manchester City,4 Leagues,44,36,3409,30,8,6,7,5,1,0.79,0.21,1,0.63,0.84,,,,,,,,,Matches
aguero,2017-2018,29,Manchester City,4 Leagues,39,32,2926,30,7,5,6,2,0,0.92,0.22,1.14,0.77,0.98,16.8,13.7,6.4,0.77,0.29,1.06,0.63,0.92,Matches
aguero,2018-2019,30,Manchester City,5 Leagues,46,41,3345,32,10,4,6,7,0,0.86,0.27,1.13,0.75,1.02,25.8,22.7,5.5,0.78,0.17,0.95,0.69,0.86,Matches
aguero,2019-2020,31,Manchester City,5 Leagues,30,24,2030,23,3,3,4,1,0,1.02,0.13,1.15,0.89,1.02,15.9,12.9,2.6,0.9,0.15,1.05,0.73,0.87,Matches
benzema,2004-2005,16,Lyon,1 League,6,1,112,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
benzema,2005-2006,17,Lyon,2 Leagues,14,5,609,2,2,0,0,1,0,0.3,0.3,0.59,0.3,0.59,,,,,,,,,
benzema,2006-2007,18,Lyon,2 Leagues,24,14,1257,7,2,1,1,0,0,0.5,0.14,0.64,0.43,0.57,,,,,,,,,
benzema,2007-2008,19,Lyon,2 Leagues,43,39,3157,24,7,0,0,1,0,0.68,0.2,0.88,0.68,0.88,,,,,,,,,
benzema,2008-2009,20,Lyon,2 Leagues,44,39,3460,22,4,2,4,2,0,0.57,0.1,0.68,0.52,0.62,,,,,,,,,
benzema,2009-2010,21,Real Madrid,2 Leagues,32,17,1627,9,4,0,0,0,0,0.5,0.22,0.72,0.5,0.72,,,,,,,,,
benzema,2010-2011,22,Real Madrid,2 Leagues,41,24,2269,21,5,0,0,1,0,0.83,0.2,1.03,0.83,1.03,,,,,,,,,
benzema,2011-2012,23,Real Madrid,2 Leagues,45,36,3002,28,13,0,0,0,0,0.84,0.39,1.23,0.84,1.23,,,,,,,,,
benzema,2012-2013,24,Real Madrid,2 Leagues,40,25,2302,16,16,0,0,0,0,0.63,0.63,1.25,0.63,1.25,,,,,,,,,
benzema,2013-2014,25,Real Madrid,2 Leagues,46,45,3645,22,13,0,0,3,0,0.54,0.32,0.86,0.54,0.86,,,,,,,,,
benzema,2014-2015,26,Real Madrid,4 Leagues,42,41,3271,21,14,0,0,1,0,0.58,0.39,0.96,0.58,0.96,,,,,,,,,Matches
benzema,2015-2016,27,Real Madrid,2 Leagues,36,34,2574,28,7,0,0,1,0,0.98,0.24,1.22,0.98,1.22,,,,,,,,,Matches
benzema,2016-2017,28,Real Madrid,4 Leagues,46,36,3026,17,8,0,0,0,0,0.51,0.24,0.74,0.51,0.74,,,,,,,,,Matches
benzema,2017-2018,29,Real Madrid,5 Leagues,45,37,3068,12,9,2,2,0,0,0.35,0.26,0.62,0.29,0.56,11.6,10.1,5.4,0.46,0.21,0.68,0.4,0.62,Matches
benzema,2018-2019,30,Real Madrid,4 Leagues,51,50,4109,30,9,3,3,1,0,0.66,0.2,0.85,0.59,0.79,16.9,14.6,6.4,0.43,0.16,0.59,0.37,0.53,Matches
benzema,2019-2020,31,Real Madrid,3 Leagues,37,34,3039,19,9,3,3,0,0,0.56,0.27,0.83,0.47,0.74,17.9,15.6,8,0.58,0.26,0.84,0.51,0.77,Matches
