team,name,nation,position,age,play,start,mplay,goal,assist,PK,PKatt,CrdY,CrdR,perG,perA,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,
real,Eden Hazard\Eden-Hazard,be BEL,FW,28,19,18,1379,1,4,0,0,1,0,0.07,0.26,0.33,0.07,0.33,3.8,3.8,3.4,0.25,0.22,0.47,0.25,0.47,Matches
real,Gareth Bale\Gareth-Bale,wal WAL,FW,30,20,14,1257,3,2,0,0,4,1,0.21,0.14,0.36,0.21,0.36,4.1,4.1,1.4,0.3,0.1,0.41,0.3,0.41,Matches
real,Éder Militão\Eder-Militao,br BRA,DF,21,17,12,1202,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0,0.01,0,0.01,0.01,0.01,Matches
real,Rodrygo\Rodrygo,br BRA,FW,18,22,13,1196,7,2,0,0,0,0,0.53,0.15,0.68,0.53,0.68,3.6,3.6,1.8,0.29,0.14,0.43,0.29,0.43,Matches
real,Lucas Vázquez\Lucas-Vazquez,es ESP,FWMF,28,19,8,845,3,1,0,0,1,0,0.32,0.11,0.43,0.32,0.43,1.3,1.3,1.8,0.15,0.21,0.37,0.15,0.37,Matches
real,Luka Jović\Luka-Jovic,rs SRB,FW,21,25,8,780,2,2,0,0,2,0,0.23,0.23,0.46,0.23,0.46,2.7,2.7,0.7,0.47,0.12,0.58,0.47,0.58,Matches
real,James Rodríguez\James-Rodriguez,co COL,MF,28,14,9,728,1,2,0,0,1,0,0.12,0.25,0.37,0.12,0.37,1.1,1.1,1.8,0.19,0.33,0.52,0.19,0.52,Matches
real,Alphonse Areola\Alphonse-Areola,fr FRA,GK,26,8,7,675,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
real,Nacho\Nacho,es ESP,DF,29,9,7,642,2,0,0,0,3,0,0.28,0,0.28,0.28,0.28,0.3,0.3,0.3,0.06,0.05,0.12,0.06,0.12,Matches
real,Álvaro Odriozola\Alvaro-Odriozola,es ESP,DF,23,5,5,433,0,2,0,0,3,1,0,0.42,0.42,0,0.42,0.2,0.2,0.7,0.03,0.14,0.17,0.03,0.17,Matches
real,Brahim Díaz\Brahim-Diaz,es ESP,FW,19,8,1,183,1,1,0,0,0,0,0.49,0.49,0.98,0.49,0.98,0.1,0.1,0,0.1,0,0.1,0.1,0.1,Matches
real,Marco Asensio\Marco-Asensio,es ESP,FW,23,5,1,151,1,1,0,0,0,0,0.6,0.6,1.19,0.6,1.19,0.3,0.3,0.8,0.16,0.5,0.66,0.16,0.66,Matches
real,Mariano\Mariano,do DOM,FW,25,7,0,91,1,0,0,0,1,0,0.99,0,0.99,0.99,0.99,0.7,0.7,0,1.48,0.08,1.56,1.48,1.56,Matches
atletico,Jan Oblak\Jan-Oblak,si SVN,GK,26,45,45,4085,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
atletico,Saúl Ñíguez\Saul-Niguez,es ESP,MFDF,24,44,44,4032,7,0,2,2,12,0,0.16,0,0.16,0.11,0.11,5.4,3.9,1.9,0.13,0.05,0.18,0.09,0.14,Matches
atletico,Thomas Partey\Thomas-Partey,gh GHA,MF,26,43,37,3401,3,1,0,0,15,0,0.08,0.03,0.11,0.08,0.11,2.4,2.4,2.1,0.07,0.06,0.13,0.07,0.13,Matches
atletico,Koke\Koke,es ESP,MF,27,38,35,3161,4,6,0,0,6,0,0.11,0.17,0.28,0.11,0.28,1.9,1.7,6.6,0.05,0.19,0.24,0.05,0.24,Matches
atletico,Renan Lodi\Renan-Lodi,br BRA,DF,21,40,36,3039,1,3,0,0,7,1,0.03,0.09,0.12,0.03,0.12,1.1,1.1,2.1,0.03,0.06,0.1,0.03,0.1,Matches
atletico,Felipe\Felipe,br BRA,DF,30,32,31,2882,2,0,0,0,10,0,0.06,0,0.06,0.06,0.06,1.6,1.6,0.1,0.05,0,0.06,0.05,0.06,Matches
atletico,Álvaro Morata\Alvaro-Morata,es ESP,FW,26,40,30,2642,16,3,3,4,8,1,0.55,0.1,0.65,0.44,0.55,15.5,13.2,3.7,0.57,0.14,0.71,0.49,0.63,Matches
atletico,Ángel Correa\Angel-Correa,ar ARG,MFFW,24,41,28,2638,7,7,0,0,8,0,0.24,0.24,0.48,0.24,0.48,7.4,7.4,4.3,0.29,0.16,0.45,0.29,0.45,Matches
atletico,Kieran Trippier\Kieran-Trippier,eng ENG,DF,28,30,28,2521,0,5,0,1,2,0,0,0.18,0.18,0,0.18,1,0.2,4.1,0.04,0.16,0.2,0.01,0.17,Matches
atletico,João Félix\Joao-Felix,pt POR,FWMF,19,34,28,2412,8,3,1,1,6,0,0.3,0.11,0.41,0.26,0.37,10.1,9.3,3.5,0.43,0.15,0.58,0.4,0.55,Matches
atletico,Stefan Savić\Stefan-Savic,me MNE,DF,28,25,24,2213,1,0,0,0,7,0,0.04,0,0.04,0.04,0.04,0.7,0.7,0.1,0.03,0.01,0.04,0.03,0.04,Matches
atletico,José María Giménez\Jose-Maria-Gimenez,uy URU,DF,24,24,22,1958,0,1,0,0,2,0,0,0.05,0.05,0,0.05,1.1,1.1,0.6,0.05,0.03,0.08,0.05,0.08,Matches
atletico,Mario Hermoso\Mario-Hermoso,es ESP,DF,24,22,18,1634,0,0,0,0,4,0,0,0,0,0,0,0.6,0.6,0.1,0.04,0.01,0.04,0.04,0.04,Matches
atletico,Diego Costa\Diego-Costa,es ESP,FW,30,26,17,1561,4,5,2,3,6,0,0.23,0.29,0.52,0.12,0.4,6.7,4.4,2.9,0.39,0.17,0.55,0.26,0.42,Matches
atletico,Marcos Llorente\Marcos-Llorente,es ESP,MF,24,32,15,1483,4,4,0,0,6,0,0.24,0.24,0.49,0.24,0.49,1.7,1.7,2.6,0.12,0.18,0.3,0.12,0.3,Matches
