Name,Season,Age,Club,Country,Comp,LgRank,90s,Cmp,Att,Cmpper,TotDist,PrgDist,SCmp,SAtt,SCmp%,MCmp,MAtt,MCmp%,LCmp,LAtt,LCmp%,Ast,xA,A-xA,KP,Final,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp??,Off,Out,Int,Blocks,Matches
Kondogbia,2017-2018,24,Valencia,es ESP,1. La Liga,4th,29,1333,1549,86.1,27028,6564,8,17,47.1,972,1090,89.2,353,442,79.9,3,2.1,0.9,18,147,15,0,149,1532,17,15,3,371,59,3,0,0,0,0,1224,97,228,1229,251,41,1,4,1333,6,31,35,16,Matches
Kondogbia,2018-2019,25,Valencia,es ESP,1. La Liga,4th,13.8,638,752,84.8,14025,3252,4,18,22.2,438,489,89.6,196,245,80,1,0.8,0.2,6,77,11,0,69,742,10,10,1,135,49,0,0,0,0,0,555,78,119,600,121,18,0,1,638,2,8,18,12,Matches
Kondogbia,2019-2020,26,Valencia,es ESP,1. La Liga,9th,20.1,946,1114,84.9,19637,4245,18,24,75,665,750,88.7,263,340,77.4,1,0.2,0.8,6,87,4,0,82,1081,33,33,1,214,72,0,0,0,0,0,794,117,203,894,142,52,0,4,946,5,25,16,9,Matches
Coquelin,2017-2018,26,Valencia,es ESP,1. La Liga,4th,7.3,258,314,82.2,4726,1402,2,5,40,207,241,85.9,49,68,72.1,0,0.1,-0.1,2,33,1,0,31,311,3,2,0,85,11,2,0,0,0,0,230,35,49,30,246,25,1,1,258,5,8,6,6,Matches
Coquelin,2018-2019,27,Valencia,es ESP,1. La Liga,4th,19.6,840,974,86.2,16494,4326,8,21,38.1,637,705,90.4,195,248,78.6,1,0.6,0.4,16,89,7,0,76,946,28,27,1,187,54,1,0,0,0,0,723,107,144,107,795,45,1,2,840,4,11,19,12,Matches
Coquelin,2019-2020,28,Valencia,es ESP,1. La Liga,9th,21.2,885,984,89.9,17359,3670,12,20,60,672,711,94.5,201,253,79.4,0,0.2,-0.2,7,87,8,0,60,958,26,23,0,151,47,3,0,0,0,0,730,110,144,141,793,31,3,3,885,1,19,14,7,Matches
Fran Merida,2019-2020,29,Osasuna,es ESP,1. La Liga,10th,12.9,581,770,75.5,13527,4091,8,21,38.1,371,453,81.9,202,296,68.2,1,0.3,0.7,8,83,10,2,90,732,38,29,1,116,53,21,4,1,2,0,423,131,216,626,94,36,3,4,581,3,29,12,14,Matches
Brasanac,2017-2018,25,Alavas,es ESP,1. La Liga,17th,13.4,332,439,75.6,5617,1636,6,15,40,276,341,80.9,50,83,60.2,0,0.6,-0.6,16,28,8,3,39,423,16,11,1,85,7,10,2,0,0,0,313,46,80,83,301,37,3,3,332,4,15,4,15,Matches
Brasanac,2018-2019,26,Alavas,es ESP,1. La Liga,11th,17.6,494,617,80.1,8965,2371,9,25,36,380,442,86,105,150,70,1,0.3,0.7,9,44,5,1,48,598,19,9,0,99,8,14,3,1,0,0,411,89,117,97,423,69,4,3,494,0,12,13,16,Matches
Brasanac,2019-2020,27,Osasuna,es ESP,1. La Liga,10th,24.9,576,772,74.6,9704,2418,18,55,32.7,458,577,79.4,100,140,71.4,1,1.6,-0.6,19,51,9,2,62,760,12,9,2,163,11,15,0,0,0,0,472,171,129,151,501,82,3,7,576,4,19,11,35,Matches
Unai Lopez,2018-2019,22,Athletic Club,es ESP,1. La Liga,8th,3.6,214,250,85.6,4515,906,2,3,66.7,145,162,89.5,67,85,78.8,0,0.3,-0.3,2,28,7,2,19,245,5,3,0,35,12,12,1,0,0,0,189,19,42,12,229,8,1,0,214,0,3,5,2,Matches
Unai Lopez,2019-2020,23,Athletic Club,es ESP,1. La Liga,11th,19.9,1004,1210,83,20814,4227,25,42,59.5,685,738,92.8,294,430,68.4,4,3.1,0.9,36,77,19,5,110,1074,136,62,4,149,79,101,55,13,22,9,769,172,269,42,1106,34,5,4,1004,1,20,8,18,Matches
Dani Garcia,2017-2018,27,Eibar,es ESP,1. La Liga,9th,30.8,1298,1618,80.2,29066,6028,10,28,35.7,852,1029,82.8,436,561,77.7,1,1.3,-0.3,18,163,12,4,139,1589,29,24,1,265,71,12,1,0,0,0,1022,199,397,252,1154,176,3,6,1298,2,46,29,21,Matches
Dani Garcia,2018-2019,28,Athletic Club,es ESP,1. La Liga,8th,27.5,1165,1391,83.8,23655,5097,10,25,40,846,960,88.1,309,406,76.1,1,0.2,0.8,5,101,3,0,84,1353,38,31,0,197,46,5,2,0,0,0,911,185,295,214,1030,108,4,5,1165,2,19,10,19,Matches
Dani Garcia,2019-2020,29,Athletic Club,es ESP,1. La Liga,11th,33.7,1225,1471,83.3,26372,5815,20,39,51.3,840,961,87.4,365,471,77.5,1,1.2,-0.2,15,109,4,1,100,1433,38,34,1,226,66,5,0,0,0,0,898,250,323,172,1110,137,3,10,1225,8,39,11,15,Matches
Melero,2018-2019,24,Levante,es ESP,1. La Liga,19th,14.9,623,714,87.3,10492,2608,7,17,41.2,511,567,90.1,105,130,80.8,1,1.1,-0.1,21,67,6,0,64,705,9,4,2,106,9,3,0,0,0,0,584,73,57,70,592,33,1,3,623,2,12,18,10,Matches
Melero,2019-2020,25,Levante,es ESP,1. La Liga,12th,13.7,458,548,83.6,7380,2132,11,24,45.8,389,442,88,58,82,70.7,1,0.8,0.2,9,39,9,0,55,533,15,9,3,96,9,2,0,0,0,0,396,86,66,51,446,32,1,5,458,3,10,4,10,Matches
Vukcevic,2018-2019,26,Levante,es ESP,1. La Liga,15th,7.4,206,251,82.1,3537,1097,4,5,80,166,197,84.3,36,49,73.5,0,0.2,-0.2,1,15,1,0,24,247,4,4,1,28,2,0,0,0,0,0,172,41,38,198,23,25,0,0,206,0,6,3,4,Matches
Vukcevic,2019-2020,27,Levante,es ESP,1. La Liga,12th,17.4,576,655,87.9,11400,2365,6,13,46.2,419,458,91.5,151,184,82.1,2,0.2,1.8,7,39,4,0,37,636,19,17,3,86,23,2,0,0,0,0,466,110,79,535,59,43,2,1,576,1,14,5,7,Matches
Fede San Emeterio,2019-2020,22,Valladolid,es ESP,1. La Liga,13th,19.5,558,683,81.7,10576,2518,12,27,44.4,421,481,87.5,125,175,71.4,0,0.3,-0.3,5,42,1,0,41,674,9,9,0,127,19,4,0,0,0,0,414,127,142,51,543,57,0,4,558,1,10,3,14,Matches
Exposito,2019-2020,22,Eibar,es ESP,1. La Liga,14th,25.7,759,933,81.4,14891,3121,8,26,30.8,557,650,85.7,194,257,75.5,1,1.2,-0.2,19,82,14,3,70,909,24,14,1,177,32,19,2,0,2,0,614,146,173,139,685,71,2,3,759,2,23,10,20,Matches
Edgar,2019-2020,22,Betis,es ESP,1. La Liga,15th,7.6,310,347,89.3,6142,1168,2,11,18.2,235,249,94.4,73,87,83.9,0,0,0,0,9,0,0,15,342,5,5,0,58,9,0,0,0,0,0,266,42,39,79,237,18,0,1,310,0,5,0,8,Matches
Guardado,2017-2018,30,Betis,es ESP,1. La Liga,6th,25.2,1269,1533,82.8,25354,6100,10,36,27.8,950,1058,89.8,309,439,70.4,8,4.4,3.6,41,131,30,9,151,1440,93,45,4,252,72,91,41,0,0,0,1119,116,298,1309,158,45,5,7,1269,1,33,22,38,Matches
